,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME
0,000300.SH,20100104,3592.468,3597.748,3535.229,3535.229,66101080.0
1,000300.SH,20100105,3545.186,3577.526,3497.661,3564.038,85809641.0
2,000300.SH,20100106,3558.7,3588.832,3541.173,3541.727,78473125.0
3,000300.SH,20100107,3543.16,3558.556,3452.769,3471.456,80350037.0
4,000300.SH,20100108,3456.908,3482.083,3426.698,3480.13,60790253.0
5,000300.SH,20100111,3593.106,3594.528,3465.317,3482.052,89980172.0
6,000300.SH,20100112,3477.842,3535.407,3437.661,3534.916,93743278.0
7,000300.SH,20100113,3448.291,3490.112,3415.693,3421.144,112457901.0
8,000300.SH,20100114,3433.472,3470.323,3411.812,3469.051,83353252.0
9,000300.SH,20100115,3472.524,3500.072,3448.661,3482.738,72543102.0
10,000300.SH,20100118,3471.777,3501.26,3458.042,3500.684,82854307.0
11,000300.SH,20100119,3506.806,3528.39,3497.094,3507.482,74883232.0
12,000300.SH,20100120,3512.246,3515.449,3387.818,3394.434,92495146.0
13,000300.SH,20100121,3397.043,3425.18,3364.723,3408.574,70595068.0
14,000300.SH,20100122,3364.452,3390.796,3293.194,3366.197,88933404.0
15,000300.SH,20100125,3340.013,3372.426,3326.266,3328.014,56849171.0
16,000300.SH,20100126,3328.113,3341.198,3222.14,3242.797,61752231.0
17,000300.SH,20100127,3243.038,3255.116,3183.365,3198.566,52691394.0
18,000300.SH,20100128,3195.289,3220.306,3168.463,3206.57,46990716.0
19,000300.SH,20100129,3190.315,3249.455,3176.916,3204.155,50262613.0
20,000300.SH,20100201,3198.23,3198.311,3116.439,3152.707,57001380.0
21,000300.SH,20100202,3170.778,3211.941,3143.085,3146.189,50130033.0
22,000300.SH,20100203,3160.712,3231.102,3094.568,3230.715,64798894.0
23,000300.SH,20100204,3206.431,3242.519,3190.437,3218.802,58972726.0
24,000300.SH,20100205,3147.721,3177.42,3129.921,3153.087,59105845.0
25,000300.SH,20100208,3152.253,3172.306,3133.808,3150.988,37355951.0
26,000300.SH,20100209,3147.761,3178.947,3144.478,3169.19,35953158.0
27,000300.SH,20100210,3195.142,3214.456,3182.834,3214.13,34219894.0
28,000300.SH,20100211,3216.688,3238.349,3207.165,3220.398,35791052.0
29,000300.SH,20100212,3232.879,3253.196,3228.738,3251.278,34058238.0
30,000300.SH,20100222,3248.947,3261.949,3232.784,3233.345,38283772.0
31,000300.SH,20100223,3225.393,3225.393,3152.934,3198.634,42742898.0
32,000300.SH,20100224,3177.082,3244.816,3165.133,3244.483,49989437.0
33,000300.SH,20100225,3252.153,3294.144,3249.329,3292.128,67586617.0
34,000300.SH,20100226,3286.095,3301.149,3273.693,3281.666,52107288.0
35,000300.SH,20100301,3290.007,3330.378,3287.556,3324.423,60504520.0
36,000300.SH,20100302,3327.103,3339.894,3299.685,3311.236,57034374.0
37,000300.SH,20100303,3313.023,3335.654,3293.916,3335.081,60622732.0
38,000300.SH,20100304,3338.674,3345.909,3244.978,3250.573,69346810.0
